"","MONTH","WKDY_IM","HOUR_IM","REL_ROAD","LGTCON_IM","WEATHR_IM","VTRAFWAY","VSURCOND","VTRAFCON","SPEEDREL","PCRASH1_IM","PBSEX","PBCWALK","PBSWALK","PEDPOS","MOTMAN","PEDCGP","MDRDSTRD","DRIMPAIR","MVISOBSC","MTM_CRSH","NMIMPAIR","MPR_ACT","INJ_SEV","PBAGE","BDYcats","SPcats","LIMcats"
"171","spring","wkday","morn","onRoad","dawnDusk","clear","twoWayNoDivide","dry","unk","unk","11","male","0","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","0_15","vanLight","unk","25"
"172","spring","wkday","aftern","onRoad","day","cloud","nonTraffic","unk","none","unk","11","female","0","1","shoulder","unk","460","yes","no","yes","0","notImpair","1","FALSE","0_15","auto","0_5","none"
"173","spring","sun","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","none","no","1","male","0","0","lane","unk","750","yes","no","no","2","notImpair","3","TRUE","16_30","heavyTruck","unk","35"
"174","wint","wkday","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","none","no","1","female","0","0","lane","unk","990","no","no","no","19","notImpair","3","FALSE","16_30","auto","unk","45"
"175","wint","sat","nightEarly","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","female","1","0","crossWalk","straight","750","no","no","no","0","notImpair","3","FALSE","16_30","auto","unk","unk"
"176","spring","wkday","morn","onRoad","darkLgt","rain","twoWayDivide","wet","none","unk","1","female","0","0","lane","unk","750","yes","no","yes","12","notImpair","3","FALSE","46_60","utility","unk","30"
"177","spring","sat","morn","onRoad","day","clear","twoWayNoDivide","dry","physSign","no","1","female","0","0","inters","right","740","no","no","no","11","notImpair","3","FALSE","31_45","auto","unk","25"
"178","spring","wkday","morn","onRoad","day","clear","nonTraffic","unk","none","no","13","female","0","0","shoulder","unk","200","no","no","yes","0","notImpair","99","FALSE","46_60","auto","unk","none"
"180","spring","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","physSign","no","11","female","0","0","inters","left","790","no","no","no","12","notImpair","3","TRUE","16_30","utility","0_5","25"
"181","spring","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","physSign","unk","10","male","0","0","crossWalk","right","790","no","no","no","0","notImpair","3","FALSE","0_15","auto","25_30","30"
"183","spring","sat","nightEarly","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","no","1","female","0","1","lane","unk","740","no","no","yes","1","notImpair","3","TRUE","31_45","utility","40_55","45"
"184","spring","sat","nightEarly","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","no","1","female","0","1","lane","unk","740","no","no","yes","2","notImpair","3","TRUE","31_45","utility","40_55","45"
"187","spring","sun","nightEarly","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","400","yes","no","yes","0","notImpair","5","FALSE","0_15","utility","unk","15"
